obra,autor_yaml,grupo,termo_encontrado,pagina,posicao_no_texto,contexto_antes,trecho_central,contexto_depois,descartado_por_exclusao
latour_2013_aime_en,latour,gaia,climate,1,46670,it were a simple differ- ence of opinion between this,climate,specialist and those who are called climate skeptics (with a,0
latour_2013_aime_en,latour,gaia,climate,1,46719,opinion between this climate specialist and those who are called,climate,skeptics (with a certain abuse of the fine word “skeptic”)?,0
latour_2013_aime_en,latour,gaia,climate,1,48024,before his audience the large number of researchers involved in,climate,"analysis, the complex system for verifying data, the articles and",0
latour_2013_aime_en,latour,gaia,climate,1,51092,means of which our certainties about the anthropic origin of,climate,"disrup- tion are milled? It is a little as though,",0
latour_2013_aime_en,latour,gaia,climate,1,52501,"he no longer had the choice of weapons, because his",climate,adver- saries were the ones talking about waiting to act,0
latour_2013_aime_en,latour,gaia,climatologists,1,52743,put him in a bind. Weren’t they in effect accusing,climatologists,"of being a “lobby” like any other, the model-makers’ lobby?",0
latour_2013_aime_en,latour,gaia,climatologists,1,53368,of numbers.” Every time someone alluded to the throng of,climatologists,"and the scope of their equipment and their budgets, the",0
latour_2013_aime_en,latour,gaia,ecology,1,55448,is hurled against overly insistent adversaries. Well before questions of,ecology,"came to the forefront of politics, we already suspected that",0
latour_2013_aime_en,latour,gaia,climatologist,1,56432,in a different way. So my mild surprise at the,climatologist,"response will be under- standable. “Well, well, here you are,",0
latour_2013_aime_en,latour,gaia,climatologist,1,57587,way?” If I did not raise such questions with the,climatologist,"that day, it was because the time to debate the",0
latour_2013_aime_en,latour,gaia,ecological,1,58253,"of science, since we find ourselves give of them. facing",ecological,crises that are unprecedented in kind and in scale. If,0
latour_2013_aime_en,latour,gaia,climatologist,1,59122,not the sort of detail that one expects of a,climatologist,"But my own work as a sociologist, or philosopher, or",0
latour_2013_aime_en,latour,gaia,ecological,1,60235,have actually entered a new era. The scope of the,ecological,"crises obliges us to reconsider a whole set of reactions,",0
latour_2013_aime_en,latour,gaia,ecology,1,62564,"that follows, the terms “modernization” or “Moderns” are opposed to",ecology,"Between modernizing and ecologizing, we have to choose. In a",0
latour_2013_aime_en,latour,gaia,climate,1,65289,"controversies have proliferated in number and scope, eventually reaching the",climate,itself. Since geologists are beginning to use the term “Anthropocene,0
latour_2013_aime_en,latour,gaia,anthropocene,1,65353,climate itself. Since geologists are beginning to use the term,Anthropocene,” to designate the era of Earth’s history that follows,0
latour_2013_aime_en,latour,gaia,gaia,1,66166,"“modern,” has lost all its efficacy. It is now before",Gaia,"that we are summoned to appear: Gaia, the odd, doubly",0
latour_2013_aime_en,latour,gaia,gaia,1,66203,is now before Gaia that we are summoned to appear:,Gaia,"the odd, doubly composite figure made up of science and",0
latour_2013_aime_en,latour,gaia,gaia,1,66838,aftershocks of the modernization front just as the confrontation with,Gaia,appears imminent. It is as though the Moderns (I use,0
latour_2013_aime_en,latour,gaia,gaia,1,67551,"arriving unexpectedly, something they seem not to have antici- pated?",Gaia,"the “Anthropocene” era, the precise name hardly matters, something in",0
latour_2013_aime_en,latour,gaia,anthropocene,1,67563,"something they seem not to have antici- pated? “Gaia,” the",Anthropocene,"era, the precise name hardly matters, something in any case",0
latour_2013_aime_en,latour,gaia,gaia,1,76253,would reunite the aforementioned Moderns with the aforementioned “others” as,Gaia,approaches. The situation that I would like to sketch out,0
latour_2013_aime_en,latour,gaia,gaia,1,82510,"with the “others,” as we face the new horizon of",Gaia,The fact is that comparative anthropology remains hanging in the,0
latour_2013_aime_en,latour,gaia,gaia,1,87657,Too late because of the crimes committed; too late because,Gaia,"is irrupting too urgently. “Too little, too late.” I believe,",0
latour_2013_aime_en,latour,gaia,gaia,1,100382,have the slightest chance of confronting the “others”—the former others—and,Gaia,"truly other Other. The goal is, first, to At all",0
latour_2013_aime_en,latour,gaia,ecology,1,100699,"front, if we do not offer them an altereconomy and",ecology,nate narrative made of the same stuff as the Master,0
latour_2013_aime_en,latour,gaia,gaia,1,103692,"at once underfoot and all around them, the aptly named",Gaia,"The question is not as idle as one might think,",0
latour_2013_aime_en,latour,gaia,ecology,1,103925,"it, the Master Narrative—of a double displacement: from economy to",ecology,"Two forms of familiar habitats, oikos: we know that the",0
latour_2013_aime_en,latour,gaia,ecology,1,104316,weapons and our baggage into the new dwelling place called,ecology,which was sold to us as being more habitable and,0
latour_2013_aime_en,latour,gaia,ecology,1,104915,between the dystopia of The Economy and the utopia of,ecology,in need of an urbanist who can design a shelter,0
latour_2013_aime_en,latour,gaia,climate,1,167885,the skeptics’ objections should not trouble us—no more than the,climate,skeptics’ objections rattled the researcher whom I mentioned in the,0
latour_2013_aime_en,latour,gaia,ecology,1,217361,"sciences, an abyss further deepened with the emer- gence of",ecology,which obliges us to take into account what is called,0
latour_2013_aime_en,latour,gaia,gaia,1,356834,Moderns have been rather surprised to see the specter of,Gaia,suddenly fall upon them. To exit from matter and allow,0
latour_2013_aime_en,latour,gaia,gaia,1,501537,"of the world in the form of the Earth, of",Gaia,a return of unanticipated consequences; the end of the modernist,0
latour_2013_aime_en,latour,gaia,gaia,1,714631,the world. Those who are going to have to decipher,Gaia,injunctions very quickly would do well to learn to speak,0
latour_2013_aime_en,latour,gaia,gaia,1,789432,civi- lized: we shall remain barbarians besieged by inhumans—and before,Gaia,we shall remain without a voice. A second group revolves,0
latour_2013_aime_en,latour,gaia,terrestrial,1,877430,"example, not through the new isotropic space but from a",terrestrial,to a “celestial” state through the intermediary of a conversion.,0
latour_2013_aime_en,latour,gaia,ecology,1,895895,"in no way prepared us to finance, similarly the delicate",ecology,of freedom requires precious tech- nologies and countless habits that,0
latour_2013_aime_en,latour,gaia,ecological,1,1028912,value in the same terms. 383 • §3-ch14 With the,ecological,"crises, the first Nature seems in danger of losing its",0
latour_2013_aime_en,latour,gaia,gaia,1,1037778,"humans, and we only have one, our own, the Earth,",Gaia,"(There may be other inhabited planets, of course, but the",0
latour_2013_aime_en,latour,gaia,ecological,1,1214299,"modern parenthesis shuts down, the multiplicity of nonhumans that the",ecological,crises thrust together in all sectors of The Economy. 454,0
latour_2013_aime_en,latour,gaia,ecology,1,1252571,etymology that economics has to share from now on with,ecology,This is not a reason for the West to stick,0
latour_2013_aime_en,latour,gaia,gaia,1,1295265,so asymmetrical that we are helpless in the face of,Gaia,"which is helpless before us, but which can nevertheless rid",0
latour_2013_aime_en,latour,gaia,anthropocene,1,1295834,"Nature ceases to be indifferent, when the Nature of the",anthropocene,"becomes sensitive, even hypersensitive, to their weight, how is anyone",0
latour_2013_aime_en,latour,gaia,gaia,1,1296829,narrow limits obliges us to seek quite different bearings: if,Gaia,"is against us, then not much is permitted any longer.",0
latour_2013_aime_en,latour,gaia,gaia,1,1296914,not much is permitted any longer. While we wait for,Gaia,it isn’t the sense of the absurd that threatens us,0
latour_2013_aime_en,latour,values,qualify values,1,4859,(33). But networks [net] have a limitation: they do not,qualify values,(35). Law offers a point of comparison through its own,0
latour_2013_aime_en,latour,values,qualify,1,63900,"front, such a Frontier, that one could allow oneself to",qualify,"as “irrational” everything that had to be torn away, and",0
latour_2013_aime_en,latour,values,qualify values,1,106449,are difficult to detect because of their they do not,qualify values,"quite particular ties to institutions, and this will oblige her",0
latour_2013_aime_en,latour,values,value system,1,107161,up with the idea of reconstiamong the Moderns tuting the,value system,of “Western societies”—a terrain whose precise boundaries mat- ter little,0
latour_2013_aime_en,latour,values,value system,1,108650,courses of action can allow her to discover the real,value system,"of the informants among whom she lives, who have agreed",0
latour_2013_aime_en,latour,values,value system,1,111612,she still nurtures the hope of identifying her interlocu- tors’,value system,"she will need a very different investigative tool, one that",0
latour_2013_aime_en,latour,values,qualify values,1,126648,"fact that, while following the threads of the do not",qualify values,"networks, she notices that she has lost in specificity what",0
latour_2013_aime_en,latour,values,qualify,1,130532,"conduits—influence in particular!), why not use the same term to",qualify,"“regular supplies” in science, law, religion, economics, and so on?",0
